event_id,latitude,longitude,observation_time,satellite,instrument,bright_ti4,bright_ti5,frp,confidence,daynight,status,distance_to_industry_km,anomaly_prediction,anomaly_score,is_anomalous,location_group,location_observation_count,location_avg_frp,persistent_activity,frp_change_percent,escalation_flag,evidence,observation_reliability,reliability_label
TH-000093,8.61995,78.07992,2026-09-11 08:01:00,N,VIIRS,330.34,302.72,4.45,l,D,UNCLASSIFIED,3.456828317797741,1,0.0457253654362411,False,8.62_78.08,1,4.45,False,0.0,False,Limited supporting evidence,75,GOOD
TH-000092,8.61787,80.4757,2026-09-11 08:01:00,N,VIIRS,333.68,305.79,5.99,l,D,UNCLASSIFIED,,1,0.1303473049312944,False,8.62_80.48,1,5.99,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000091,8.58726,80.3494,2026-09-11 08:01:00,N,VIIRS,333.52,305.25,4.77,l,D,UNCLASSIFIED,,1,0.1416495371157363,False,8.59_80.35,1,4.77,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000090,8.51221,80.17732,2026-09-11 08:01:00,N,VIIRS,341.24,304.78,6.13,l,D,UNCLASSIFIED,,1,0.1350874697973084,False,8.51_80.18,2,6.88,False,-10.901162790697674,False,Limited supporting evidence,55,PARTIAL
TH-000089,8.50874,80.17788,2026-09-11 08:01:00,N,VIIRS,332.71,307.19,7.63,l,D,UNCLASSIFIED,,1,0.0795631706984389,False,8.51_80.18,2,6.88,False,10.901162790697674,False,Limited supporting evidence,55,PARTIAL
TH-000088,8.5069,80.7668,2026-09-11 08:01:00,N,VIIRS,334.95,306.06,4.02,l,D,UNCLASSIFIED,,1,0.1399714774432934,False,8.51_80.77,1,4.02,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000087,8.49392,80.12891,2026-09-11 08:01:00,N,VIIRS,332.86,301.85,2.45,l,D,UNCLASSIFIED,,1,0.135203709094114,False,8.49_80.13,2,5.73,False,-57.24258289703316,False,Limited supporting evidence,55,PARTIAL
TH-000086,8.49105,80.13333,2026-09-11 08:01:00,N,VIIRS,333.92,302.95,9.01,l,D,UNCLASSIFIED,,1,0.1111113687791716,False,8.49_80.13,2,5.73,False,57.242582897033145,False,Limited supporting evidence,55,PARTIAL
TH-000085,8.48565,80.52334,2026-09-11 08:01:00,N,VIIRS,331.03,299.19,2.29,l,D,UNCLASSIFIED,5.001816392380101,-1,-0.0553361361908043,True,8.49_80.52,1,2.29,False,0.0,False,Unusual thermal behaviour,75,GOOD
TH-000084,8.47641,80.75307,2026-09-11 08:01:00,N,VIIRS,337.22,305.28,3.54,l,D,UNCLASSIFIED,,1,0.141279025977678,False,8.48_80.75,1,3.54,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000083,8.47301,80.75362,2026-09-11 08:01:00,N,VIIRS,334.21,305.83,3.54,l,D,UNCLASSIFIED,,1,0.1388962279402239,False,8.47_80.75,1,3.54,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000056,8.13688,79.99423,2026-09-11 08:01:00,N,VIIRS,334.1,300.19,4.03,l,D,UNCLASSIFIED,,1,0.1325254008192511,False,8.14_79.99,1,4.03,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000080,8.40384,80.33569,2026-09-11 08:01:00,N,VIIRS,335.28,300.08,2.95,n,D,UNCLASSIFIED,,1,0.1196510493870128,False,8.4_80.34,1,2.95,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000055,8.02976,80.57709,2026-09-11 08:01:00,N,VIIRS,332.33,299.18,3.02,l,D,UNCLASSIFIED,3.992276299363908,1,0.035746882889574,False,8.03_80.58,1,3.02,False,0.0,False,Limited supporting evidence,75,GOOD
TH-000070,8.31788,80.3184,2026-09-11 08:01:00,N,VIIRS,340.09,305.3,4.56,n,D,UNCLASSIFIED,,1,0.1398446781467505,False,8.32_80.32,2,4.375,False,4.22857142857142,False,Limited supporting evidence,70,PARTIAL
TH-000053,7.99013,81.21532,2026-09-11 08:01:00,N,VIIRS,330.13,303.31,1.86,l,D,UNCLASSIFIED,2.7870353300280715,1,0.0903442014999699,False,7.99_81.22,1,1.86,False,0.0,False,Industrial activity detected nearby,75,GOOD
TH-000027,7.43177,81.0183,2026-09-11 08:01:00,N,VIIRS,340.51,306.89,4.46,n,D,UNCLASSIFIED,,1,0.1235931042536386,False,7.43_81.02,1,4.46,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000026,7.39979,81.1692,2026-09-11 08:01:00,N,VIIRS,341.17,307.69,5.2,n,D,UNCLASSIFIED,,1,0.1071329786381914,False,7.4_81.17,1,5.2,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000025,7.35999,80.85026,2026-09-11 08:01:00,N,VIIRS,331.7,299.18,2.58,n,D,UNCLASSIFIED,,1,0.1078928111548478,False,7.36_80.85,1,2.58,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000024,7.29222,80.90644,2026-09-11 08:01:00,N,VIIRS,350.96,305.47,9.69,n,D,UNCLASSIFIED,,1,0.0593324137542806,False,7.29_80.91,1,9.69,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000023,7.29179,81.79798,2026-09-11 08:01:00,N,VIIRS,348.4,305.89,3.59,n,D,UNCLASSIFIED,,1,0.0543728241830888,False,7.29_81.8,2,3.59,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000022,7.28845,81.79851,2026-09-11 08:01:00,N,VIIRS,340.97,305.46,3.59,n,D,UNCLASSIFIED,,1,0.133831316057307,False,7.29_81.8,2,3.59,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000021,7.28462,81.12443,2026-09-11 08:01:00,N,VIIRS,335.24,306.9,5.72,l,D,UNCLASSIFIED,,1,0.1238079169110062,False,7.28_81.12,1,5.72,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000020,7.04885,81.36258,2026-09-11 08:01:00,N,VIIRS,331.59,303.0,2.5,l,D,UNCLASSIFIED,,1,0.1355129146918292,False,7.05_81.36,1,2.5,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000019,7.00834,81.58915,2026-09-11 08:01:00,N,VIIRS,345.32,306.58,8.77,n,D,UNCLASSIFIED,,1,0.0875944424023625,False,7.01_81.59,1,8.77,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000018,6.97968,81.59059,2026-09-11 08:01:00,N,VIIRS,334.92,306.98,4.62,l,D,UNCLASSIFIED,,1,0.1241294997037277,False,6.98_81.59,1,4.62,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000017,6.89663,81.66595,2026-09-11 08:01:00,N,VIIRS,341.98,311.66,10.02,l,D,UNCLASSIFIED,,-1,-0.023634085209594,True,6.9_81.67,1,10.02,False,0.0,False,Unusual thermal behaviour,55,PARTIAL
TH-000016,6.89327,81.66647,2026-09-11 08:01:00,N,VIIRS,343.25,311.38,9.06,l,D,UNCLASSIFIED,,-1,-0.0119439314240438,True,6.89_81.67,1,9.06,False,0.0,False,Unusual thermal behaviour,55,PARTIAL
TH-000015,6.87345,81.516,2026-09-11 08:01:00,N,VIIRS,332.62,306.82,3.28,l,D,UNCLASSIFIED,,1,0.113750006711748,False,6.87_81.52,1,3.28,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000014,6.55016,80.87274,2026-09-11 08:01:00,N,VIIRS,335.09,302.82,6.59,l,D,UNCLASSIFIED,,1,0.1391808471466011,False,6.55_80.87,1,6.59,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000013,6.45361,80.75334,2026-09-11 08:01:00,N,VIIRS,331.56,300.6,4.69,l,D,UNCLASSIFIED,,1,0.1301113060864509,False,6.45_80.75,1,4.69,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000054,8.02441,81.07615,2026-09-11 08:01:00,N,VIIRS,334.31,303.35,1.4,n,D,UNCLASSIFIED,,1,0.0928778263439308,False,8.02_81.08,1,1.4,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000011,6.3591,80.94524,2026-09-11 08:01:00,N,VIIRS,334.14,303.23,4.04,l,D,UNCLASSIFIED,4.091368785066722,1,0.0476365431904669,False,6.36_80.95,1,4.04,False,0.0,False,Limited supporting evidence,75,GOOD
TH-000010,6.32772,80.99232,2026-09-11 08:01:00,N,VIIRS,367.0,306.14,9.46,h,D,UNCLASSIFIED,,-1,-0.0265881301910493,True,6.33_80.99,1,9.46,False,0.0,False,Unusual thermal behaviour,80,GOOD
TH-000009,6.23848,80.86372,2026-09-11 08:01:00,N,VIIRS,330.2,301.89,3.23,l,D,UNCLASSIFIED,,1,0.1174516561067428,False,6.24_80.86,1,3.23,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000008,6.23561,80.868,2026-09-11 08:01:00,N,VIIRS,335.93,302.32,6.16,l,D,UNCLASSIFIED,,1,0.1354986984956884,False,6.24_80.87,1,6.16,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000007,6.23098,80.86099,2026-09-11 08:01:00,N,VIIRS,340.28,302.41,5.67,l,D,UNCLASSIFIED,,1,0.133433437352315,False,6.23_80.86,1,5.67,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000028,7.4521,81.65658,2026-09-11 08:01:00,N,VIIRS,334.81,304.7,2.95,l,D,UNCLASSIFIED,,1,0.1443562925205592,False,7.45_81.66,1,2.95,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000029,7.45285,81.26469,2026-09-11 08:01:00,N,VIIRS,332.56,305.13,1.51,l,D,UNCLASSIFIED,,1,0.085002786304471,False,7.45_81.26,1,1.51,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000012,6.43032,81.0219,2026-09-11 08:01:00,N,VIIRS,342.04,304.06,5.1,n,D,UNCLASSIFIED,,1,0.1311930667692823,False,6.43_81.02,1,5.1,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000031,7.49562,81.22058,2026-09-11 08:01:00,N,VIIRS,338.41,307.55,4.67,l,D,UNCLASSIFIED,,1,0.1110044677745433,False,7.5_81.22,2,4.67,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000052,7.9696,80.02896,2026-09-11 08:01:00,N,VIIRS,332.52,306.69,5.96,l,D,UNCLASSIFIED,,1,0.1157346415008702,False,7.97_80.03,1,5.96,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000051,7.96736,80.03738,2026-09-11 08:01:00,N,VIIRS,330.39,304.68,4.65,l,D,UNCLASSIFIED,,1,0.1160680731685039,False,7.97_80.04,1,4.65,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000050,7.95865,81.19073,2026-09-11 08:01:00,N,VIIRS,340.02,307.92,5.49,l,D,UNCLASSIFIED,,1,0.1025911214469889,False,7.96_81.19,1,5.49,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000049,7.95602,80.10657,2026-09-11 08:01:00,N,VIIRS,333.06,302.4,3.17,l,D,UNCLASSIFIED,,1,0.1433091335633258,False,7.96_80.11,1,3.17,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000048,7.95252,80.10713,2026-09-11 08:01:00,N,VIIRS,333.12,304.43,3.17,l,D,UNCLASSIFIED,,1,0.1406793771610455,False,7.95_80.11,1,3.17,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000047,7.93462,80.06189,2026-09-11 08:01:00,N,VIIRS,340.51,302.41,3.76,n,D,UNCLASSIFIED,,1,0.1284776534877132,False,7.93_80.06,1,3.76,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000046,7.92887,81.1991,2026-09-11 08:01:00,N,VIIRS,352.39,305.79,11.34,l,D,UNCLASSIFIED,,1,0.0353904549106315,False,7.93_81.2,2,11.34,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000045,7.9255,81.19964,2026-09-11 08:01:00,N,VIIRS,349.98,308.62,11.34,l,D,UNCLASSIFIED,,1,0.0151398352179644,False,7.93_81.2,2,11.34,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000043,7.8662,80.01651,2026-09-11 08:01:00,N,VIIRS,350.23,303.58,10.98,l,D,UNCLASSIFIED,,1,0.0104117363327186,False,7.87_80.02,1,10.98,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000042,7.82437,80.31818,2026-09-11 08:01:00,N,VIIRS,330.57,298.54,2.96,n,D,UNCLASSIFIED,4.84713648419625,-1,-0.0390430327203179,True,7.82_80.32,1,2.96,False,0.0,False,Unusual thermal behaviour,90,GOOD
TH-000044,7.89431,80.01201,2026-09-11 08:01:00,N,VIIRS,356.38,305.56,24.01,l,D,UNCLASSIFIED,,-1,-0.1711006963354429,True,7.89_80.01,1,24.01,False,0.0,False,Moderate thermal intensity | Unusual thermal behaviour,55,PARTIAL
TH-000040,7.79306,81.22885,2026-09-11 08:01:00,N,VIIRS,347.93,308.0,14.16,n,D,UNCLASSIFIED,,1,0.0016165188144922,False,7.79_81.23,1,14.16,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000032,7.499,81.22006,2026-09-11 08:01:00,N,VIIRS,341.23,307.27,4.67,n,D,UNCLASSIFIED,,1,0.1138918901723495,False,7.5_81.22,2,4.67,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000033,7.50022,81.00719,2026-09-11 08:01:00,N,VIIRS,340.39,309.37,13.75,n,D,UNCLASSIFIED,,-1,-0.0232128276832183,True,7.5_81.01,1,13.75,False,0.0,False,Unusual thermal behaviour,70,PARTIAL
TH-000041,7.82195,81.20905,2026-09-11 08:01:00,N,VIIRS,330.55,303.08,2.83,l,D,UNCLASSIFIED,,1,0.1236227277430344,False,7.82_81.21,1,2.83,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000035,7.56389,80.63634,2026-09-11 08:01:00,N,VIIRS,332.02,297.18,2.95,n,D,UNCLASSIFIED,1.0662967517223434,-1,-0.043217247884758,True,7.56_80.64,1,2.95,False,0.0,False,Unusual thermal behaviour | Industrial activity detected nearby,90,GOOD
TH-000036,7.60552,80.9675,2026-09-11 08:01:00,N,VIIRS,347.95,306.08,10.24,l,D,UNCLASSIFIED,,1,0.0638594735158779,False,7.61_80.97,1,10.24,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000034,7.51028,81.56757,2026-09-11 08:01:00,N,VIIRS,336.06,303.96,3.6,l,D,UNCLASSIFIED,,1,0.1462994587046005,False,7.51_81.57,1,3.6,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000038,7.61714,80.84123,2026-09-11 08:01:00,N,VIIRS,330.79,304.92,4.5,l,D,UNCLASSIFIED,,1,0.1225131735610109,False,7.62_80.84,1,4.5,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000039,7.71343,80.83015,2026-09-11 08:01:00,N,VIIRS,352.48,308.16,12.23,n,D,UNCLASSIFIED,,-1,-0.0038916067852424,True,7.71_80.83,1,12.23,False,0.0,False,Unusual thermal behaviour,70,PARTIAL
TH-000037,7.61301,81.01514,2026-09-11 08:01:00,N,VIIRS,333.74,302.04,2.33,l,D,UNCLASSIFIED,,1,0.1341269760572861,False,7.61_81.02,1,2.33,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000030,7.46692,81.26621,2026-09-11 08:01:00,N,VIIRS,334.62,306.36,1.97,l,D,UNCLASSIFIED,,1,0.098469033527608,False,7.47_81.27,1,1.97,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000103,18.21146,74.44026,2026-09-11 08:03:00,N,VIIRS,330.24,298.3,5.36,n,D,UNCLASSIFIED,,1,0.0836855480409107,False,18.21_74.44,1,5.36,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000104,18.26146,75.48334,2026-09-11 08:03:00,N,VIIRS,335.52,300.47,5.57,n,D,UNCLASSIFIED,,1,0.1264993378941273,False,18.26_75.48,1,5.57,False,0.0,False,Limited supporting evidence,70,PARTIAL
